Method;URL;Header
GET;/;{"host":"192.168.1.24","connection":"keep-alive","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","accept-encoding":"gzip, deflate","accept-language":"es-ES,es;q=0.9,en;q=0.8"}
GET;/favicon.ico;{"host":"192.168.1.24","connection":"keep-alive","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36","accept":"image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8","referer":"http://192.168.1.24/","accept-encoding":"gzip, deflate","accept-language":"es-ES,es;q=0.9,en;q=0.8"}
GET;/stream.sdp;{"host":"192.168.1.24","connection":"keep-alive","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","referer":"http://192.168.1.24/","accept-encoding":"gzip, deflate","accept-language":"es-ES,es;q=0.9,en;q=0.8"}
GET;/hud/cronometro.html;{"host":"192.168.1.24","connection":"keep-alive","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.134 OBS/30.1.2 Safari/537.36","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9","accept-language":"es-ES,es;q=0.9,en-US;q=0.8,en;q=0.7","accept-encoding":"gzip, deflate"}
GET;/hud/js/Cronometro.js;{"host":"192.168.1.24","connection":"keep-alive","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.134 OBS/30.1.2 Safari/537.36","accept":"*/*","accept-language":"es-ES,es;q=0.9,en-US;q=0.8,en;q=0.7","referer":"http://192.168.1.24/hud/cronometro.html","accept-encoding":"gzip, deflate"}
GET;/img/logos/WOOD.png;{"host":"192.168.1.24","connection":"keep-alive","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.134 OBS/30.1.2 Safari/537.36","accept":"image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8","accept-language":"es-ES,es;q=0.9,en-US;q=0.8,en;q=0.7","referer":"http://192.168.1.24/hud/cronometro.html","accept-encoding":"gzip, deflate"}
GET;/hud/anuncios.html;{"host":"192.168.1.24","connection":"keep-alive","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.134 OBS/30.1.2 Safari/537.36","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9","accept-language":"es-ES,es;q=0.9,en-US;q=0.8,en;q=0.7","accept-encoding":"gzip, deflate"}
GET;/hud/css/base.css;{"host":"192.168.1.24","connection":"keep-alive","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.134 OBS/30.1.2 Safari/537.36","accept":"text/css,*/*;q=0.1","accept-language":"es-ES,es;q=0.9,en-US;q=0.8,en;q=0.7","referer":"http://192.168.1.24/hud/anuncios.html","accept-encoding":"gzip, deflate"}
GET;/hud/anuncios.html;{"host":"192.168.1.24","connection":"keep-alive","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.134 OBS/30.1.2 Safari/537.36","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9","accept-language":"es-ES,es;q=0.9,en-US;q=0.8,en;q=0.7","accept-encoding":"gzip, deflate"}
GET;/hud/css/base.css;{"host":"192.168.1.24","connection":"keep-alive","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.134 OBS/30.1.2 Safari/537.36","accept":"text/css,*/*;q=0.1","accept-language":"es-ES,es;q=0.9,en-US;q=0.8,en;q=0.7","referer":"http://192.168.1.24/hud/anuncios.html","accept-encoding":"gzip, deflate"}
GET;/hud/cronometro.html;{"host":"192.168.1.24","connection":"keep-alive","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.134 OBS/30.1.2 Safari/537.36","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9","accept-language":"es-ES,es;q=0.9,en-US;q=0.8,en;q=0.7","accept-encoding":"gzip, deflate"}
GET;/hud/js/Cronometro.js;{"host":"192.168.1.24","connection":"keep-alive","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.134 OBS/30.1.2 Safari/537.36","accept":"*/*","accept-language":"es-ES,es;q=0.9,en-US;q=0.8,en;q=0.7","referer":"http://192.168.1.24/hud/cronometro.html","accept-encoding":"gzip, deflate"}
GET;/img/logos/WOOD.png;{"host":"192.168.1.24","connection":"keep-alive","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.134 OBS/30.1.2 Safari/537.36","accept":"image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8","accept-language":"es-ES,es;q=0.9,en-US;q=0.8,en;q=0.7","referer":"http://192.168.1.24/hud/cronometro.html","accept-encoding":"gzip, deflate"}
GET;/;{"host":"192.168.1.24","connection":"keep-alive","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","accept-encoding":"gzip, deflate","accept-language":"es-ES,es;q=0.9"}
GET;/crl/;{"host":"192.168.1.24","connection":"keep-alive","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","referer":"http://192.168.1.24/","accept-encoding":"gzip, deflate","accept-language":"es-ES,es;q=0.9"}
GET;/crl/crl_crono.html;{"host":"192.168.1.24","connection":"keep-alive","upgrade-insecure-requests":"1","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","accept":"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7","referer":"http://192.168.1.24/crl/","accept-encoding":"gzip, deflate","accept-language":"es-ES,es;q=0.9"}
GET;/crl/js/RondaEquipo.js;{"host":"192.168.1.24","connection":"keep-alive","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","accept":"*/*","referer":"http://192.168.1.24/crl/crl_crono.html","accept-encoding":"gzip, deflate","accept-language":"es-ES,es;q=0.9"}
GET;/data/equipos.json;{"host":"192.168.1.24","connection":"keep-alive","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","accept":"*/*","referer":"http://192.168.1.24/crl/crl_crono.html","accept-encoding":"gzip, deflate","accept-language":"es-ES,es;q=0.9"}
GET;/data/rondas.json;{"host":"192.168.1.24","connection":"keep-alive","user-agent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","accept":"*/*","referer":"http://192.168.1.24/crl/crl_crono.html","accept-encoding":"gzip, deflate","accept-language":"es-ES,es;q=0.9"}
